zeit	zerfaelle	zerfaelle_err
0	1.0465E+06	1.05E+05
5	9.5978E+05	9.60E+04
10	8.7232E+05	8.72E+04
15	9.5940E+05	9.59E+04
20	7.8961E+05	7.90E+04
25	6.8383E+05	6.84E+04
30	6.3859E+05	6.39E+04
35	5.8827E+05	5.88E+04
40	7.1584E+05	7.16E+04
45	5.8182E+05	5.82E+04
50	6.1629E+05	6.16E+04
55	4.6782E+05	4.68E+04
60	6.0970E+05	6.10E+04
65	5.9176E+05	5.92E+04
70	4.3295E+05	4.33E+04
75	3.6887E+05	3.69E+04
80	3.9961E+05	4.00E+04
85	3.7123E+05	3.71E+04
90	3.2863E+05	3.29E+04
95	2.7354E+05	2.74E+04
100	3.4637E+05	3.46E+04
105	2.7668E+05	2.77E+04
110	2.5558E+05	2.56E+04
115	2.9408E+05	2.94E+04
120	1.9153E+05	1.92E+04
125	2.7505E+05	2.75E+04
130	2.8143E+05	2.81E+04
135	2.3935E+05	2.39E+04
140	1.9405E+05	1.94E+04
145	1.6344E+05	1.63E+04
150	2.0882E+05	2.09E+04
155	1.5359E+05	1.54E+04
160	1.3912E+05	1.39E+04
165	1.4996E+05	1.50E+04
170	1.5030E+05	1.50E+04
175	1.2864E+05	1.29E+04
180	1.2485E+05	1.25E+04
185	1.1269E+05	1.13E+04
190	1.2145E+05	1.21E+04
195	1.0390E+05	1.04E+04
200	1.0079E+05	1.01E+04
205	8.9648E+04	8.96E+03
210	8.3949E+04	8.39E+03
215	7.9349E+04	7.93E+03
220	7.4180E+04	7.42E+03
225	7.2243E+04	7.22E+03
230	7.1281E+04	7.13E+03
235	5.8700E+04	5.87E+03
240	5.2222E+04	5.22E+03
245	5.4684E+04	5.47E+03
250	4.5929E+04	4.59E+03
255	6.7068E+04	6.71E+03
260	4.2881E+04	4.29E+03
265	4.9367E+04	4.94E+03
270	4.5685E+04	4.57E+03
275	4.8582E+04	4.86E+03
280	3.7368E+04	3.74E+03
285	4.1024E+04	4.10E+03
290	3.0543E+04	3.05E+03
295	3.4475E+04	3.45E+03
300	3.6679E+04	3.67E+03
305	3.3301E+04	3.33E+03
310	3.2227E+04	3.22E+03
315	3.0100E+04	3.01E+03
320	2.2077E+04	2.21E+03
325	2.2002E+04	2.20E+03
330	2.1524E+04	2.15E+03
335	2.0088E+04	2.01E+03
340	2.2594E+04	2.26E+03
345	2.0821E+04	2.08E+03
350	1.5995E+04	1.60E+03
355	1.8064E+04	1.81E+03
360	1.7086E+04	1.71E+03
365	1.5175E+04	1.52E+03
370	1.3009E+04	1.30E+03
375	1.4287E+04	1.43E+03
380	1.2663E+04	1.27E+03
385	1.2301E+04	1.23E+03
390	1.0436E+04	1.04E+03
395	1.0090E+04	1.01E+03
400	8.9277E+03	8.93E+02
405	9.8067E+03	9.81E+02
410	9.9747E+03	9.97E+02
415	9.7349E+03	9.73E+02
420	8.0446E+03	8.04E+02
425	8.1606E+03	8.16E+02
430	6.4197E+03	6.42E+02
435	7.8627E+03	7.86E+02
440	7.0191E+03	7.02E+02
445	6.0997E+03	6.10E+02
450	4.4934E+03	4.49E+02
455	5.2388E+03	5.24E+02
460	4.8636E+03	4.86E+02
465	4.9887E+03	4.99E+02
470	4.7311E+03	4.73E+02
475	3.2997E+03	3.30E+02
480	5.0653E+03	5.07E+02
485	3.5962E+03	3.60E+02
490	3.1117E+03	3.11E+02
495	3.5695E+03	3.57E+02
500	3.2770E+03	3.28E+02
505	2.8838E+03	2.88E+02
510	2.6795E+03	2.68E+02
515	2.4803E+03	2.48E+02
520	2.2541E+03	2.25E+02
525	2.5338E+03	2.53E+02
530	2.2151E+03	2.22E+02
535	1.8349E+03	1.83E+02
540	2.0580E+03	2.06E+02
545	1.6433E+03	1.64E+02
550	1.7105E+03	1.71E+02
555	1.5604E+03	1.56E+02
560	1.4630E+03	1.46E+02
565	1.4918E+03	1.49E+02
570	1.3129E+03	1.31E+02
575	1.3371E+03	1.34E+02
580	1.1542E+03	1.15E+02
585	1.1029E+03	1.10E+02
590	1.1121E+03	1.11E+02
595	1.0787E+03	1.08E+02
600	9.4778E+02	9.48E+01
